,0,1,2,3
41,-14.921793032256021,-14.956615747081763,-14.927685284925971,0.0
42,-14.914796309623812,-14.952656898716572,-14.922716047949411,0.0
43,-14.907395148713482,-14.948456971730149,-14.917467111198793,0.0
44,-14.899580661721895,-14.944009080010336,-14.911925924450227,0.0
45,-14.891344380593168,-14.939306454586053,-14.906079775440395,0.0
46,-14.882678264269842,-14.934342448484296,-14.899915818648903,0.0
47,-14.873574703698262,-14.929110540797035,-14.893421104320518,0.0
48,-14.864026524625336,-14.923604339958626,-14.88658260756127,0.0
49,-14.854026988237612,-14.917817586237902,-14.879387257347904,0.0
50,-14.84356978970651,-14.911744153452782,-14.8718219652967,0.0
51,-14.832649054715661,-14.905378049918777,-14.863873654045468,0.0
52,-14.821259334057478,-14.898713418646421,-14.855529285111274,0.0
53,-14.809395596396172,-14.89174453680607,-14.846775886096063,0.0
54,-14.79705321930351,-14.88446581448208,-14.837600577122748,0.0
55,-14.784227978681454,-14.876871792741621,-14.82799059639528,0.0
56,-14.770916036692526,-14.8689571410467,-14.817933324787708,0.0
57,-14.757113928324317,-14.860716654041047,-14.807416309378997,0.0
58,-14.74281854671875,-14.852145247746511,-14.79642728586238,0.0
59,-14.728027127399876,-14.84323795520637,-14.784954199770093,0.0
60,-14.712737231535879,-14.833989921615622,-14.772985226466373,0.0
61,-14.696946728371715,-14.824396398980728,-14.76050878987346,0.0
62,-14.680653776968466,-14.8144527403534,-14.747513579906919,0.0
63,-14.663856807384066,-14.804154393685108,-14.733988568607822,0.0
64,-14.646554501427698,-14.793496895350541,-14.719923024970129,0.0
65,-14.628745773116737,-14.782475863389788,-14.705306528471686,0.0
66,-14.610429748960994,-14.771086990520057,-14.690128981326984,0.0
67,-14.591605748193974,-14.759326036968675,-14.674380619488602,0.0
68,-14.57227326306522,-14.747188823179565,-14.65805202243247,0.0
69,-14.55243193930152,-14.734671222445634,-14.641134121769438,0.0
70,-14.532081556837921,-14.721769153519386,-14.623618208732202,0.0
71,-14.511222010912313,-14.708478573253569,-14.605495940592348,0.0
72,-14.489853293609714,-14.694795469322944,-14.586759346067158,0.0
73,-14.467975475934672,-14.680715853077034,-14.567400829779835,0.0
74,-14.445588690482117,-14.666235752572325,-14.547413175839951,0.0
75,-14.42269311476912,-14.65135120583056,-14.526789550613291,0.0
76,-14.399288955281943,-14.636058254367708,-14.505523504751746,0.0
77,-14.375376432284938,-14.620352937035776,-14.483608974554702,0.0
78,-14.350955765430164,-14.60423128421703,-14.461040282733318,0.0
79,-14.326027160199244,-14.58768931240728,-14.437812138648447,0.0
80,-14.300590795201826,-14.570723019221772,-14.413919638091544,0.0
81,-14.274646810348484,-14.553328378854054,-14.389358262676065,0.0
82,-14.248195295909582,-14.535501338014646,-14.364123878904266,0.0
83,-14.221236282465942,-14.517237812372944,-14.338212736971483,0.0
84,-14.193769731752022,-14.498533683522176,-14.31162146936656,0.0
85,-14.165795528387626,-14.47938479648362,-14.284347089323374,0.0
86,-14.137313472490128,-14.45978695776276,-14.256386989174457,0.0
87,-14.10832327315572,-14.439735933966489,-14.22773893865347,0.0
88,-14.078824542795306,-14.419227450987083,-14.198401083188886,0.0
89,-14.048816792308214,-14.39825719375529,-14.168371942226742,0.0
90,-14.018299427075185,-14.37682080656181,-14.13765040761577,0.0
91,-13.987271743750691,-14.354913893943348,-14.106235742083575,0.0
92,-13.955732927833832,-14.332532022126736,-14.07412757782799,0.0
93,-13.923682051996554,-14.309670721021957,-14.041325915243222,0.0
94,-13.891118075147945,-14.286325486752583,-14.007831121795924,0.0
95,-13.85803984221358,-14.26249178471002,-13.973643931062089,0.0
96,-13.824446084609415,-14.238165053116017,-13.938765441931363,0.0
97,-13.790335421390497,-14.213340707076258,-13.903197117981433,0.0
98,-13.755706361055676,-14.188014143106379,-13.866940787021196,0.0
99,-13.720557303990473,-14.162180744110502,-13.82999864079772,0.0
100,-13.68488654553141,-14.135835884791389,-13.7923732348585,0.0
101,-13.648692279636139,-14.108974937470364,-13.754067488557128,0.0
102,-13.61197260314477,-14.081593278294571,-13.715084685187339,0.0
103,-13.574725520618825,-14.053686293808472,-13.675428472227424,0.0
104,-13.536948949745033,-14.025249387866177,-13.635102861674214,0.0
105,-13.498640727291944,-13.99627798886087,-13.594112230443223,0.0
106,-13.459798615607879,-13.966767557247316,-13.552461320809163,0.0
107,-13.420420309649101,-13.93671359333346,-13.510155240858825,0.0
108,-13.380503444527156,-13.906111645316912,-13.467199464926288,0.0
109,-13.340045603564342,-13.874957317542211,-13.423599833978665,0.0
110,-13.299044326845843,-13.843246278954732,-13.37936255591896,0.0
111,-13.25749712025658,-13.810974271727147,-13.334494205771225,0.0
112,-13.215401464989952,-13.778137120034465,-13.289001725712101,0.0
113,-13.172754827514678,-13.744730738953667,-13.242892424911783,0.0
114,-13.129554669984635,-13.710751143464114,-13.196173979146913,0.0
115,-13.085798461075147,-13.676194457524922,-13.148854430147276,0.0
116,-13.041483687227522,-13.641056923205593,-13.100942184638127,0.0
117,-12.99660786428176,-13.605334909846261,-13.052446013039908,0.0
118,-12.95116854947541,-13.569024923223987,-13.003375047787554,0.0
119,-12.905163353784383,-13.532123614701558,-12.953738781232067,0.0
120,-12.858589954579356,-13.494627790335414,-12.903547063088027,0.0
121,-12.81144610856905,-13.456534419919281,-12.85281009739175,0.0
122,-12.763729664999362,-13.417840645940302,-12.801538438936316,0.0
123,-12.715438579074945,-13.378543792424468,-12.749742989151388,0.0
124,-12.666570925567527,-13.33864137364839,-12.6974349913977,0.0
125,-12.617124912572892,-13.298131102694507,-12.644626025648401,0.0
126,-12.567098895376365,-13.257010899827167,-12.59132800253197,0.0
127,-12.51649139038436,-13.215278900667135,-12.53755315671415,0.0
128,-12.465301089077812,-13.172933464142528,-12.48331403959947,0.0
129,-12.413526871941315,-13.129973180194387,-12.428623511336086,0.0
130,-12.361167822320358,-13.086396877215691,-12.37349473211119,0.0
131,-12.30822324015763,-13.042203629202955,-12.317941152727874,0.0
132,-12.254692655558234,-12.997392762600231,-12.261976504458126,0.0
133,-12.200575842132864,-12.951963862815914,-12.205614788170621,0.0
134,-12.145872830067423,-12.905916780393497,-12.148870262735999,0.0
135,-12.0905839188673,-12.859251636818225,-12.091757432716477,0.0
136,-12.034709689724636,-12.811968829942426,-12.034291035350824,0.0
137,-11.978251017457318,-12.764069039013352,-11.976486026849953,0.0
138,-11.921209081969119,-12.715553229288272,-11.918357568022543,0.0
139,-11.86358537918155,-12.666422656222803,-11.85992100925429,0.0
140,-11.805381731389387,-12.616678869219557,-11.801191874868401,0.0
141,-11.746600296993522,-12.566323714925463,-11.742185846898929,0.0
142,-11.68724357956696,-12.515359340067473,-11.68291874831231,0.0
143,-11.627314436212046,-12.463788193817706,-11.623406525716117,0.0
144,-11.56681608516979,-12.411613029680495,-11.563665231597398,0.0
145,-11.505752112645016,-12.358836906895352,-11.503711006136218,0.0
146,-11.444126478814345,-12.305463191351278,-11.443560058642836,0.0
147,-11.381943522987438,-12.25149555600946,-11.383228648669636,0.0
148,-11.319207967895574,-12.196937980832931,-11.322733066851207,0.0
149,-11.255924923085473,-12.141794752223317,-11.26208961552797,0.0
150,-11.192099887400285,-12.0860704619664,-11.201314589210384,0.0
151,-11.127738750533744,-12.029770005689777,-11.140424254942026,0.0
152,-11.062847793647652,-11.972898580837448,-11.079434832620825,0.0
153,-10.997433689047206,-11.91546168416766,-11.018362475338256,0.0
154,-10.931503498912807,-11.857465108781883,-10.95722324979647,0.0
